epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,1578.91,0.5857,0.40219,0.84937,0.93724,0.94483,0.95475,0.78128,0.7286,0.51723,0.91897,0.000142,0.000142,0.000142
132,1590.29,0.60513,0.41181,0.84815,0.93914,0.94359,0.94909,0.79099,0.71445,0.50677,0.91658,0.0001354,0.0001354,0.0001354
133,1603.12,0.57709,0.39422,0.84576,0.93884,0.94343,0.94663,0.77907,0.73307,0.51993,0.92121,0.0001288,0.0001288,0.0001288
134,1616.46,0.57402,0.41167,0.8485,0.93805,0.9428,0.94514,0.77883,0.74668,0.5276,0.92799,0.0001222,0.0001222,0.0001222
135,1630.13,0.58594,0.41156,0.84964,0.93742,0.94297,0.94745,0.78569,0.70998,0.50862,0.91539,0.0001156,0.0001156,0.0001156
136,1641.31,0.53644,0.37724,0.83605,0.93782,0.94283,0.94765,0.7852,0.71457,0.51131,0.91481,0.000109,0.000109,0.000109
137,1652.32,0.53116,0.37259,0.8193,0.93817,0.94244,0.94576,0.78318,0.73373,0.51191,0.91937,0.0001024,0.0001024,0.0001024
138,1663.3,0.5406,0.38637,0.84049,0.93969,0.94222,0.94557,0.78677,0.716,0.47767,0.91552,9.58e-05,9.58e-05,9.58e-05
139,1673.76,0.53179,0.37096,0.83487,0.93951,0.9394,0.94789,0.79051,0.71974,0.4837,0.91844,8.92e-05,8.92e-05,8.92e-05
140,1684.14,0.52696,0.37031,0.82532,0.94134,0.93669,0.9486,0.7784,0.73886,0.48848,0.92318,8.26e-05,8.26e-05,8.26e-05
141,1694.43,0.54313,0.38745,0.8423,0.94141,0.93668,0.95212,0.7879,0.72749,0.48521,0.92088,7.6e-05,7.6e-05,7.6e-05
142,1704.91,0.53827,0.36944,0.82648,0.93815,0.94252,0.95781,0.79341,0.70278,0.47531,0.91564,6.94e-05,6.94e-05,6.94e-05
143,1715.32,0.53771,0.36303,0.83786,0.93922,0.94281,0.95554,0.78979,0.71581,0.48003,0.91748,6.28e-05,6.28e-05,6.28e-05
144,1725.67,0.5024,0.36503,0.81331,0.94103,0.94299,0.95417,0.78288,0.73485,0.48101,0.92296,5.62e-05,5.62e-05,5.62e-05
145,1736.08,0.51945,0.35888,0.83672,0.9409,0.94338,0.95581,0.78612,0.73535,0.48518,0.92357,4.96e-05,4.96e-05,4.96e-05
146,1746.54,0.51069,0.35437,0.83008,0.9393,0.9437,0.95565,0.78991,0.72224,0.47943,0.92108,4.3e-05,4.3e-05,4.3e-05
147,1757.07,0.50367,0.35203,0.82423,0.93921,0.94363,0.95491,0.79047,0.72019,0.47901,0.91966,3.64e-05,3.64e-05,3.64e-05
148,1767.64,0.51088,0.36401,0.8256,0.93899,0.94407,0.95509,0.79128,0.71727,0.48019,0.91878,2.98e-05,2.98e-05,2.98e-05
149,1777.98,0.51171,0.35614,0.84288,0.93953,0.94376,0.95565,0.78838,0.71185,0.47773,0.91714,2.32e-05,2.32e-05,2.32e-05
150,1788.41,0.52184,0.35373,0.83641,0.93961,0.94361,0.95745,0.79185,0.71091,0.47285,0.91751,1.66e-05,1.66e-05,1.66e-05
